patient_id	file_id	file_name	sample_id
MMRF_1346	1987cad2-fda1-4c6c-831d-a03691a1bd2b	64b50a77-550f-4639-b01e-4683a3cf9d92.rna_seq.augmented_star_gene_counts.tsv	MMRF_1346_1_BM_CD138pos
MMRF_1348	1b21cc7b-5c80-4e50-81d8-37af1f0c7b04	b3efa1c6-34cb-46c0-b977-f943d36d5ebb.rna_seq.augmented_star_gene_counts.tsv	MMRF_1348_1_BM_CD138pos
MMRF_1349	c60fd187-1ef9-4ba3-92ea-9c2e88b8c8a2	10132f1d-5977-4774-ad57-9baced63315f.rna_seq.augmented_star_gene_counts.tsv	MMRF_1349_1_BM_CD138pos
MMRF_1352	4b2e4ea1-d59e-42da-bd9a-0b9603e918a0	ea0ad0f3-9373-4ea9-adbb-9fc563890acc.rna_seq.augmented_star_gene_counts.tsv	MMRF_1352_1_BM_CD138pos
MMRF_1354	7fecc746-231c-40e7-96ca-614a7648e65a	29dfbdd4-7ab4-47ed-ba2b-73a848b982a2.rna_seq.augmented_star_gene_counts.tsv	MMRF_1354_1_BM_CD138pos
MMRF_1355	6205f8cc-159a-4a14-9229-89ee4c2a61ec	d553566c-f131-4a1a-b183-b7737cf0de57.rna_seq.augmented_star_gene_counts.tsv	MMRF_1355_1_BM_CD138pos
MMRF_1356	76fab282-7626-44ff-8ddf-a5939d50aa70	b1bf7a62-5f3e-42a5-b752-642acb35087d.rna_seq.augmented_star_gene_counts.tsv	MMRF_1356_1_BM_CD138pos
MMRF_1358	bca114a2-16ca-4905-a827-cd7439183dad	030ac3a7-6f05-4f96-adf9-29a5394de0a2.rna_seq.augmented_star_gene_counts.tsv	MMRF_1358_1_BM_CD138pos
MMRF_1359	6b133550-e004-4c54-943c-0565dcd2aa8d	87d2decd-1446-4df3-aaf1-f79eb3ce64a5.rna_seq.augmented_star_gene_counts.tsv	MMRF_1359_1_BM_CD138pos
MMRF_1360	b40fa108-b06e-44b9-b67c-709809cde976	93615729-86d5-407c-8a9a-2b2d9ba92a79.rna_seq.augmented_star_gene_counts.tsv	MMRF_1360_1_BM_CD138pos
MMRF_1361	9382ccc3-f86c-4f32-bb50-9f2d11fcdc95	6349e3e0-35e8-4b8f-9b9f-6256b0ca5859.rna_seq.augmented_star_gene_counts.tsv	MMRF_1361_1_BM_CD138pos
MMRF_1364	8447d061-a0e8-43fb-a9c4-c9a567491575	4780017f-bf9e-489f-8c92-af0d20b44d5c.rna_seq.augmented_star_gene_counts.tsv	MMRF_1364_1_BM_CD138pos
MMRF_1365	4060ff5d-960c-4aaf-8676-70a85dc453e0	bcc13c1b-ec20-4f35-9936-70b9730f7c72.rna_seq.augmented_star_gene_counts.tsv	MMRF_1365_1_BM_CD138pos
MMRF_1371	15384f9d-678b-4dd1-9841-28eaeb62d265	b90763bf-c23c-43a5-92f6-68872928c25d.rna_seq.augmented_star_gene_counts.tsv	MMRF_1371_1_BM_CD138pos
MMRF_1373	f3f7253d-94f5-491f-91ab-e753ad5388fa	b37b8fc2-6028-4ae1-8ac4-5f97aba42e62.rna_seq.augmented_star_gene_counts.tsv	MMRF_1373_1_BM_CD138pos
MMRF_1374	c32fac58-260a-452f-a140-72e7038d856e	b99d4175-5ca5-4e12-b553-c7b63de509a0.rna_seq.augmented_star_gene_counts.tsv	MMRF_1374_1_BM_CD138pos
MMRF_1377	6ec7cd8a-b88c-4605-8633-815a9cf11298	3a261947-1b1c-4850-b614-82fadf74c660.rna_seq.augmented_star_gene_counts.tsv	MMRF_1377_1_BM_CD138pos
MMRF_1380	4fb66b8d-1c87-4a22-8bc7-4212fbb8947c	6319615f-ee90-48e7-a89a-bc2e32f92a60.rna_seq.augmented_star_gene_counts.tsv	MMRF_1380_1_BM_CD138pos
MMRF_1383	85420de2-a51a-4d14-a57c-38bf49ca9a3b	3e2a2ab2-29bb-41e3-b83d-34ed88186236.rna_seq.augmented_star_gene_counts.tsv	MMRF_1383_1_BM_CD138pos
MMRF_1386	89e7b07d-e0fc-4c94-ae2c-339f343c9a61	b0c1f8a2-b683-490a-befa-3e7f93220234.rna_seq.augmented_star_gene_counts.tsv	MMRF_1386_1_BM_CD138pos
